ID,DESCRICAO,timestamp,ESTOQUE,UNIDADE,LOJA,CATEGORIA,MARCA,QUALIDADE,QTD,URL,TAMANHO
id_2,FRALDA HUGGIES NATURAL CARE ROUPINHA XG 56 UNIDADES,2024-12-03 17:10:25,True,1.61,PANVEL,fraldas,HUGGIES,NATURAL CARE,56,https://www.panvel.com/panvel/fralda-huggies-natural-care-roupinha-xg-56-unidades/p-100419,XG
id_79,FRALDA HUGGIES SUPREME CARE MEGA XG COM 26 UNIDADES,2024-12-03 17:10:25,True,2.0,PANVEL,fraldas,HUGGIES,SUPREME CARE,26,https://www.panvel.com/panvel/fralda-huggies-supreme-care-mega-xg-com-26-unidades/p-836460,XG
id_11,FRALDA HUGGIES TRIPLA PROTEÇÃO HIPER XG COM 66 UNIDADES,2024-12-03 17:10:25,True,1.59,PANVEL,fraldas,HUGGIES,TRIPLA PROTECAO,66,https://www.panvel.com/panvel/fralda-huggies-tripla-protecao-hiper-xg-com-66-unidades/p-112434,XG
id_72,Fralda Pampers Confort Sec XG 88 Unidades,2024-12-03 17:10:25,True,1.72,DPSP,fraldas,PAMPERS,CONFORT SEC,88,https://www.drogariasaopaulo.com.br/fralda-pampers-confort-sec-xg-88-unidades/p,XG
id_82,Fralda Huggies Supreme Care XG 82 Unidades,2024-12-03 17:10:25,True,1.69,DPSP,fraldas,HUGGIES,SUPREME CARE,82,https://www.drogariasaopaulo.com.br/fralda-descartavel-infantil-huggies-supreme-care-xg-82-unidades/p,XG
id_76,Fralda Pampers Confort Sec XG 54 Unidades,2024-12-03 17:10:25,True,1.93,DPSP,fraldas,PAMPERS,CONFORT SEC,54,https://www.drogariasaopaulo.com.br/fralda-descartavel-pampers-se-super-xg-54-unidades/p,XG
id_75,Fralda Huggies Supreme Care XG 58 Unidades,2024-12-03 17:10:25,True,1.9,DPSP,fraldas,HUGGIES,SUPREME CARE,58,https://www.drogariasaopaulo.com.br/fralda-descartavel-infantil-huggies-supreme-care-tamanho-xg-58-unidades/p,XG
id_55,Fralda Pampers Super Sec XG 40 Unidades,2024-12-03 17:10:25,True,1.45,DPSP,fraldas,PAMPERS,SUPERSEC,40,https://www.drogariasaopaulo.com.br/fralda-pampers-supersec--xg-40-unidades/p,XG
id_67,Fralda Pampers Pants Premium Care Roupinha XG 96 Unidades,2024-12-03 17:10:25,True,1.6,DPSP,fraldas,PAMPERS,PREMIUM CARE,96,https://www.drogariasaopaulo.com.br/fralda-pampers-pants-premium-care-xg-96-unidades/p,XG
id_78,Fralda Pampers Super Sec XG 68 Unidades,2024-12-03 17:10:25,True,1.27,DPSP,fraldas,PAMPERS,SUPERSEC,68,https://www.drogariasaopaulo.com.br/fralda-infantil-pampers-supersec-xg-pacote-68-unidades/p,XG
